"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"ZVB","ATLAS PORTFÖY SERBEST (TL) FON","Serbest Şemsiye Fonu","2,4977","89,4163","121,7226","-1,9589","205,7580","-","-"
"IDH","İŞ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL)  FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-1,0560","89,2809","158,4496","-3,6258","205,4937","-","-"
"GHS","GARANTİ PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","11,8944","58,1264","126,1900","0,2933","205,0734","504,3611","643,9991"
"PPB","PHİLLİP PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","7,1096","53,2827","137,0301","-0,1701","203,1128","-","-"
"OPI","OSMANLI PORTFÖY İKİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","9,9603","68,7961","137,6929","-1,0013","203,0600","-","-"
"YZH","TEB PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN)","Hisse Senedi Şemsiye Fonu","13,8462","50,3028","150,9441","-0,6849","202,7260","-","-"
"IAR","İSTANBUL PORTFÖY DÖRDÜNCÜ SERBEST FON","Serbest Şemsiye Fonu","13,5126","59,9372","144,6839","1,0241","200,2469","1.030,7584","-"
"ADP","AK PORTFÖY BİST BANKA ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","13,7835","51,2936","150,4239","-0,7955","200,2169","212,1950","194,0160"
"IGZ","İŞ PORTFÖY ÜNİ SERBEST ÖZEL FON","Serbest Şemsiye Fonu","10,3704","47,9953","103,9188","1,3191","198,5447","-","-"
"IHK","İŞ PORTFÖY İŞ'TE KADIN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","10,4418","60,0311","130,5142","-0,1416","198,4182","-","-"
"TYH","TEB PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","10,3953","54,4344","125,2355","-1,7936","198,3419","472,8911","582,4588"
"TAU","İŞ PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","13,7793","51,6459","150,2486","-0,7180","198,1882","209,0495","192,8122"
"AIM","AK PORTFÖY MİMKA SERBEST ÖZEL FON","Serbest Şemsiye Fonu","3,0674","80,8650","101,4797","-3,9489","196,6706","255,0280","431,2174"
